,stadtteil,kita_spots,area,under6,Unnamed: 3,diff,kids_per_spot,prct_missing
0,Allermöhe,130,Bergedorf,71.0,,-59.0,0.5461538461538461,-0.8309859154929577
1,Alsterdorf,370,Hamburg-Nord,951.0,,581.0,2.5702702702702704,0.6109358569926393
2,Altengamme,183,Bergedorf,144.0,,-39.0,0.7868852459016393,-0.2708333333333333
3,Altona-Altstadt,717,Altona,1780.0,,1063.0,2.482566248256625,0.5971910112359551
4,Altona-Nord,441,Altona,1808.0,,1367.0,4.099773242630386,0.7560840707964602
5,Bahrenfeld,1502,Altona,2012.0,,510.0,1.3395472703062583,0.25347912524850896
6,Barmbek-Nord,414,Hamburg-Nord,2181.0,,1767.0,5.268115942028985,0.8101788170563962
7,Barmbek-Süd,679,Hamburg-Nord,1772.0,,1093.0,2.609720176730486,0.6168171557562077
8,Bergedorf,748,Bergedorf,2273.0,,1525.0,3.0387700534759357,0.6709194896612406
9,Bergstedt,170,Hamburg-Nord,656.0,,486.0,3.8588235294117648,0.7408536585365854
10,Billstedt,1239,Hamburg-Mitte,4643.0,,3404.0,3.747376916868442,0.7331466724100797
11,Billwerder,125,Bergedorf,476.0,,351.0,3.808,0.7373949579831933
12,Blankenese,368,Altona,715.0,,347.0,1.9429347826086956,0.4853146853146853
13,Borgfelde,85,Hamburg-Mitte,363.0,,278.0,4.270588235294118,0.7658402203856749
14,Bramfeld,788,Hamburg-Nord,2980.0,,2192.0,3.781725888324873,0.7355704697986577
15,Cranz,0,Harburg,43.0,,43.0,inf,1.0
16,Curslack,0,Bergedorf,319.0,,319.0,inf,1.0
17,Dulsberg,70,Hamburg-Nord,815.0,,745.0,11.642857142857142,0.9141104294478528
18,Duvenstedt,144,Hamburg-Nord,363.0,,219.0,2.5208333333333335,0.6033057851239669
19,Eidelstedt,456,Eimsbüttel,2207.0,,1751.0,4.839912280701754,0.7933846850928863
20,Eilbek,394,Hamburg-Nord,1244.0,,850.0,3.1573604060913705,0.6832797427652733
21,Eimsbüttel,1557,Eimsbüttel,3412.0,,1855.0,2.1913937058445727,0.5436694021101993
22,Eißendorf,604,Harburg,1518.0,,914.0,2.513245033112583,0.6021080368906456
