,plz,kita_spots,under6,diff,kids_per_spot
0,10115,1808.0,1837,29.0,1.0160398230088497
1,10117,1550.0,1219,-331.0,0.7864516129032258
2,10119,1226.0,263,-963.0,0.21451876019575855
3,10178,560.0,1962,1402.0,3.5035714285714286
4,10179,928.0,1173,245.0,1.2640086206896552
5,10243,1924.0,860,-1064.0,0.446985446985447
6,10245,1607.0,672,-935.0,0.418170504044804
7,10247,2728.0,1825,-903.0,0.6689882697947214
8,10249,1275.0,288,-987.0,0.22588235294117648
9,10315,1660.0,458,-1202.0,0.27590361445783135
10,10317,1370.0,139,-1231.0,0.10145985401459855
11,10318,2025.0,390,-1635.0,0.1925925925925926
12,10319,1107.0,108,-999.0,0.0975609756097561
13,10365,1795.0,288,-1507.0,0.16044568245125349
14,10367,895.0,724,-171.0,0.8089385474860336
15,10369,1503.0,717,-786.0,0.47704590818363274
16,10405,1732.0,1037,-695.0,0.598729792147806
17,10407,1401.0,666,-735.0,0.4753747323340471
18,10409,1356.0,1206,-150.0,0.8893805309734514
19,10435,1069.0,3270,2201.0,3.058933582787652
20,10437,1952.0,1171,-781.0,0.5998975409836066
21,10439,1763.0,1089,-674.0,0.6176971072036301
22,10551,904.0,1490,586.0,1.6482300884955752
23,10553,352.0,1439,1087.0,4.088068181818182
24,10555,581.0,1006,425.0,1.7314974182444063
25,10557,1145.0,1041,-104.0,0.9091703056768559
26,10559,893.0,965,72.0,1.0806270996640537
27,10585,579.0,852,273.0,1.471502590673575
28,10587,661.0,1019,358.0,1.5416036308623298
29,10589,724.0,310,-414.0,0.4281767955801105
30,10623,324.0,3,-321.0,0.009259259259259259
31,10625,226.0,721,495.0,3.190265486725664
32,10627,357.0,21,-336.0,0.058823529411764705
33,10629,513.0,1290,777.0,2.5146198830409356
34,10707,156.0,1805,1649.0,11.570512820512821
35,10709,802.0,2523,1721.0,3.1458852867830425
36,10711,78.0,2656,2578.0,34.05128205128205
37,10713,287.0,174,-113.0,0.6062717770034843
38,10715,1027.0,1849,822.0,1.8003894839337877
39,10717,562.0,135,-427.0,0.2402135231316726
40,10719,250.0,1899,1649.0,7.596
41,10777,431.0,3962,3531.0,9.192575406032482
42,10779,302.0,2987,2685.0,9.890728476821192
43,10781,735.0,787,52.0,1.070748299319728
44,10783,370.0,1119,749.0,3.0243243243243243
45,10785,852.0,2633,1781.0,3.09037558685446
46,10787,39.0,3262,3223.0,83.64102564102564
47,10789,312.0,2979,2667.0,9.548076923076923
48,10823,561.0,802,241.0,1.429590017825312
49,10825,350.0,2250,1900.0,6.428571428571429
50,10827,801.0,1497,696.0,1.8689138576779025
51,10829,932.0,1705,773.0,1.8293991416309012
52,10961,1102.0,733,-369.0,0.6651542649727767
53,10963,898.0,1718,820.0,1.913140311804009
54,10965,930.0,1940,1010.0,2.086021505376344
55,10967,1224.0,922,-302.0,0.7532679738562091
56,10969,1405.0,536,-869.0,0.38149466192170817
57,10997,1736.0,710,-1026.0,0.40898617511520735
58,10999,1685.0,871,-814.0,0.5169139465875371
59,12043,998.0,781,-217.0,0.782565130260521
60,12045,980.0,827,-153.0,0.8438775510204082
61,12047,614.0,92,-522.0,0.1498371335504886
62,12049,1035.0,897,-138.0,0.8666666666666667
63,12051,1729.0,1112,-617.0,0.6431463273568536
64,12053,905.0,25,-880.0,0.027624309392265192
65,12055,725.0,289,-436.0,0.3986206896551724
66,12057,702.0,1101,399.0,1.5683760683760684
67,12059,445.0,902,457.0,2.0269662921348313
