,kita_name,kita_address,kita_spots,plz
0,paul kirschkern,"10115 Berlin, Anklamerstr. 29",25,10115
1,kinderinsel e. v. inselnest,"10115 Berlin, Eichendorffstraße 17",25,10115
2,kinderladen 'piraterie',"10115 Berlin, Anklamer Str. 22",20,10115
3,berlin cosmopolitan school - kindergarten in the park,"10115 Berlin, Invalidenstrasse 130",248,10115
4,ina.kinder.garten habersaathstraße,"10115 Berlin, Habersaathstraße 5",90,10115
5,oskar kirschkern,"10115 Berlin, Anklamerstr.29",30,10115
6,kindergarten gartenstr. 107,"10115 Berlin, Gartenstr. 107",130,10115
7,kita kinderakademie,"10115 Berlin, Habersaathstr.13",130,10115
8,schröderzwerge,"10115 Berlin, Schröderstraße 13 I",10,10115
9,kita der berlin metropolitan school,"10115 Berlin, Linienstraße 122",0,10115
10,kita cavalo marinho (deutsch-portugiesisch),"10115 Berlin, Anklamer Straße 46",30,10115
11,frÖbel-kindergarten „casa fantasia“,"10115 Berlin, Anklamer Straße 38",69,10115
12,frÖbel-kindergarten „mittendrin“,"10115 Berlin, Borsigstr. 33",180,10115
13,jurella am park,"10115 Berlin, Chausseestrasse 50 B",54,10115
14,musikkindergarten sternenklang,"10115 Berlin, Rheinsberger Straße 56",25,10115
15,tagespflege wöhlertmäuse,"10115 Berlin, Wöhlertstr. 20",5,10115
16,evangelische kita sophien,"10115 Berlin, Große Hamburger Straße 28/29",83,10115
17,evangelische kita st. elisabeth,"10115 Berlin, Elisabethkirchstraße 19–21",129,10115
18,naturkindergarten berlin mitte e.v.,"10115 Berlin, Krausnickstraße 11",0,10115
19,casa azul - maison bleue,"10117 Berlin, Reinhardtstr. 31",0,10117
20,kita französische straße,"10117 Berlin, Französische Straße 16",180,10117
21,kinderinsel ziegelstraße,"10117 Berlin, Ziegelstraße 27",23,10117
22,kindergarten jerusalemer str. 10/12,"10117 Berlin, Jerusalemer Str. 10/12",180,10117
23,alegría - mohrenstraße,"10117 Berlin, Mohrenstr. 7",30,10117
24,alegría - voßstraße,"10117 Berlin, Voßstr. 12",30,10117
25,interkulturelle kita 'umka' (deutsch-russisch-jüdisch),"10117 Berlin, Leibziger Str. 47",65,10117
26,kita 'kinderwelt',"10117 Berlin, An der Kolonnade 3/5",130,10117
27,jump bilingual kindergarten,"10117 Berlin, Wilhelmstraße 88",60,10117
28,regenbogenkita,"10119 Berlin, Fehrbelliner Straße 80",90,10119
