,kita_name,kita_address,kita_spots
0,kindertagesstätte `die zipfelmützen´,"20097 Hamburg, Friesenstraße 13",94
1,kindertagesstätte ´city süd rabauken`,"20097 Hamburg, Friesenstraße 1",80
2,kinderzimmer city süd,"20097 Hamburg, Amsinckstraße 61",100
3,bilinguale kindertagesstätte phorminis hamburg,"20097 Hamburg, Wendenstraße 35-43",100
4,kinderzimmer hammerbrook,"20097 Hamburg, Hammerbrookstraße 63-65",0
5,cvjm-kindertagesheim,"20099 Hamburg, Koppel 53",60
6,kita greifswalder straße,"20099 Hamburg, Greifswalder Straße 38","<a href=""../hamburg/20099/stiftstrasse15.php"" target=""_blank"" title=""Kita ansehen""><b>ev. kindertagesheim st. georg</b></a>"
7,ev. kindertagesheim st. georg,"20099 Hamburg, Stiftstraße 15","<a href=""../hamburg/20099/ammariendom9.php"" target=""_blank"" title=""Kita ansehen""><b>kath. kindertagesstätte st. marien</b></a>"
8,kath. kindertagesstätte st. marien,"20099 Hamburg, Am Mariendom 9",160
9,spielhaus st. georgs kirchhof,"20099 Hamburg, St. Georgs Kirchhof 10","<a href=""../hamburg/20099/alexanderstrasse1.php"" target=""_blank"" title=""Kita ansehen""><b>campuskinder</b></a>"
10,campuskinder,"20099 Hamburg, Alexanderstrasse 1",40
11,kita `die stifte´,"20099 Hamburg, Stiftstraße 69",50
12,kita koppelkinder e.v.,"20099 Hamburg, Rostocker Straße 74","<a href=""../hamburg/20099/lohmuehlenstrasse5.php"" target=""_blank"" title=""Kita ansehen""><b>kita lohmühlenstrolche an der asklepios klinik st. georg</b></a>"
13,kita lohmühlenstrolche an der asklepios klinik st. georg,"20099 Hamburg, Lohmühlenstraße 5",90
14,waldorfkindergarten eimsbüttel/eppendorf,"20144 Hamburg, Bogenstrasse 45",50
15,kita brahmsallee,"20144 Hamburg, Brahmsallee 38","<a href=""../hamburg/20144/bogenstrasse26.php"" target=""_blank"" title=""Kita ansehen""><b>kindergarten st. andreas</b></a>"
16,kindergarten st. andreas,"20144 Hamburg, Bogenstraße 26",70
17,kinderladen strubbelkinder,"20144 Hamburg, Parkallee 2",36
18,kita kleine heimat,"20144 Hamburg, Kleiner Kielort 10","<a href=""../hamburg/20144/grindelberg3.php"" target=""_blank"" title=""Kita ansehen""><b>kita pünktchens tintenklecks (grindelberg)</b></a>"
19,kita pünktchens tintenklecks (grindelberg),"20144 Hamburg, Grindelberg 3",<br/>
20,kita monetastraße,"20146 Hamburg, Monetastraße 2","<a href=""../hamburg/20146/bornstrasse2.php"" target=""_blank"" title=""Kita ansehen""><b>kita bornstraße</b></a>"
21,kita bornstraße,"20146 Hamburg, Bornstraße 2",70
22,kita hallerstraße,"20146 Hamburg, Hallerstraße 58",70
23,kita kindercampus,"20146 Hamburg, Schlüterstraße 7",40
24,spanisch – deutsche kindertagesstätte cocorí,"20146 Hamburg, Bundesstraße 25-27",45
25,kita  `die stadtnasen´,"20146 Hamburg, Grindelhof 38",26
26,enfantine kinderklub (krippe hallerstraße),"20146 Hamburg, Hallerstraße 76",30
27,kita flohzirkus,"20146 Hamburg, Laufgraben 27",0
28,ronald-lauder-kindergarten,"20146 Hamburg, Grindelhof 30",50
29,waldorfkindergarten hamburg-mitte e.v.,"20148 Hamburg, Alte Rabenstraße 9",46
30,kita feldbrunnenstraße,"20148 Hamburg, Feldbrunnenstr. 66","<a href=""../hamburg/20148/heimhuderstrasse88.php"" target=""_blank"" title=""Kita ansehen""><b>ev. kita kinderarche</b></a>"
31,ev. kita kinderarche,"20148 Hamburg, Heimhuder Straße 88",0
32,ev. kindertagesstätte st. johannis-harvestehude,"20148 Hamburg, Heimhuder Straße 90",0
33,internationaler kindergarten turmweg,"20148 Hamburg, Turmweg 35",50
34,kindergarten schneewittchen,"20148 Hamburg, Heimhuder Straße 22",20
35,kita `die alsterzwerge´,"20148 Hamburg, Magdalenenstraße 26",30
36,kita elysee,"20148 Hamburg, Moorweidenstraße 9",<br/>
37,enfantine kinderklub (oberstraße),"20149 Hamburg, Oberstraße 112",26
38,kindergarten der hauptkirche st. nikolai,"20149 Hamburg, Harvestehuder Weg 91","<a href=""../hamburg/20149/oderfelderstrasse17.php"" target=""_blank"" title=""Kita ansehen""><b>kindergarten hauptkirche st. nikolai</b></a>"
39,kindergarten hauptkirche st. nikolai,"20149 Hamburg, Oderfelder Straße 17","<a href=""../hamburg/20149/oderfelderstrasse23.php"" target=""_blank"" title=""Kita ansehen""><b>kindergarten hauptkirche st. nikolai</b></a>"
40,kindergarten hauptkirche st. nikolai,"20149 Hamburg, Oderfelder Straße 23",30
41,kindergarten junior,"20149 Hamburg, Jungfrauenthal 12",0
42,kindergarten junior,"20149 Hamburg, Jungfrauenthal 12",0
43,kindergarten sterntaler e.v.,"20149 Hamburg, Hallerstraße 89",35
44,enfantine kinderklub  (krippe alsterkamp),"20149 Hamburg, Alsterkamp 37",22
