,kita_name,kita_address,kita_spots,plz
0,kindertagesstätte `die zipfelmützen´,"20097 Hamburg, Friesenstraße 13",94,20097
1,kindertagesstätte ´city süd rabauken`,"20097 Hamburg, Friesenstraße 1",80,20097
2,kinderzimmer city süd,"20097 Hamburg, Amsinckstraße 61",100,20097
3,bilinguale kindertagesstätte phorminis hamburg,"20097 Hamburg, Wendenstraße 35-43",100,20097
4,kinderzimmer hammerbrook,"20097 Hamburg, Hammerbrookstraße 63-65",0,20097
5,cvjm-kindertagesheim,"20099 Hamburg, Koppel 53",60,20099
6,kita greifswalder straße,"20099 Hamburg, Greifswalder Straße 38",0,20099
7,ev. kindertagesheim st. georg,"20099 Hamburg, Stiftstraße 15",0,20099
8,kath. kindertagesstätte st. marien,"20099 Hamburg, Am Mariendom 9",160,20099
9,spielhaus st. georgs kirchhof,"20099 Hamburg, St. Georgs Kirchhof 10",0,20099
10,campuskinder,"20099 Hamburg, Alexanderstrasse 1",40,20099
11,kita `die stifte´,"20099 Hamburg, Stiftstraße 69",50,20099
12,kita koppelkinder e.v.,"20099 Hamburg, Rostocker Straße 74",0,20099
13,kita lohmühlenstrolche an der asklepios klinik st. georg,"20099 Hamburg, Lohmühlenstraße 5",90,20099
14,waldorfkindergarten eimsbüttel/eppendorf,"20144 Hamburg, Bogenstrasse 45",50,20144
15,kita brahmsallee,"20144 Hamburg, Brahmsallee 38",0,20144
16,kindergarten st. andreas,"20144 Hamburg, Bogenstraße 26",70,20144
17,kinderladen strubbelkinder,"20144 Hamburg, Parkallee 2",36,20144
18,kita kleine heimat,"20144 Hamburg, Kleiner Kielort 10",0,20144
19,kita pünktchens tintenklecks (grindelberg),"20144 Hamburg, Grindelberg 3",0,20144
20,kita monetastraße,"20146 Hamburg, Monetastraße 2",0,20146
21,kita bornstraße,"20146 Hamburg, Bornstraße 2",70,20146
22,kita hallerstraße,"20146 Hamburg, Hallerstraße 58",70,20146
23,kita kindercampus,"20146 Hamburg, Schlüterstraße 7",40,20146
24,spanisch – deutsche kindertagesstätte cocorí,"20146 Hamburg, Bundesstraße 25-27",45,20146
25,kita  `die stadtnasen´,"20146 Hamburg, Grindelhof 38",26,20146
26,enfantine kinderklub (krippe hallerstraße),"20146 Hamburg, Hallerstraße 76",30,20146
27,kita flohzirkus,"20146 Hamburg, Laufgraben 27",0,20146
28,ronald-lauder-kindergarten,"20146 Hamburg, Grindelhof 30",50,20146
29,waldorfkindergarten hamburg-mitte e.v.,"20148 Hamburg, Alte Rabenstraße 9",46,20148
30,kita feldbrunnenstraße,"20148 Hamburg, Feldbrunnenstr. 66",0,20148
31,ev. kita kinderarche,"20148 Hamburg, Heimhuder Straße 88",0,20148
32,ev. kindertagesstätte st. johannis-harvestehude,"20148 Hamburg, Heimhuder Straße 90",0,20148
33,internationaler kindergarten turmweg,"20148 Hamburg, Turmweg 35",50,20148
34,kindergarten schneewittchen,"20148 Hamburg, Heimhuder Straße 22",20,20148
35,kita `die alsterzwerge´,"20148 Hamburg, Magdalenenstraße 26",30,20148
36,kita elysee,"20148 Hamburg, Moorweidenstraße 9",0,20148
37,enfantine kinderklub (oberstraße),"20149 Hamburg, Oberstraße 112",26,20149
38,kindergarten der hauptkirche st. nikolai,"20149 Hamburg, Harvestehuder Weg 91",0,20149
39,kindergarten hauptkirche st. nikolai,"20149 Hamburg, Oderfelder Straße 17",0,20149
40,kindergarten hauptkirche st. nikolai,"20149 Hamburg, Oderfelder Straße 23",30,20149
41,kindergarten junior,"20149 Hamburg, Jungfrauenthal 12",0,20149
42,kindergarten junior,"20149 Hamburg, Jungfrauenthal 12",0,20149
43,kindergarten sterntaler e.v.,"20149 Hamburg, Hallerstraße 89",35,20149
