,area,kita_address,plz,kita_spots
0,Mitte,Albrechtstr. 020,10117,69.0
1,Mitte,An der Kolonnade 003-5,10117,155.0
2,Mitte,Anklamer Str. 038,10115,69.0
3,Mitte,Fehrbelliner Str. 080,10119,91.0
4,Mitte,Fischerinsel 008,10179,234.0
5,Mitte,Französische Str. 016,10117,180.0
6,Mitte,Ziegelstr. 004- 9,10117,25.0
7,Mitte,Friedrichstr. 129F,10117,190.0
8,Mitte,Gartenstr. 107,10115,140.0
9,Mitte,Habersaathstr. 013,10115,150.0
10,Mitte,Lichtenberger Str. 032-33,10179,190.0
11,Mitte,Jerusalemer Str. 010,10117,185.0
12,Mitte,Kleine Auguststr. 011-10,10119,220.0
13,Mitte,Max-Beer-Str. 024-26,10119,200.0
14,Mitte,Mollstr. 007A,10178,260.0
15,Mitte,Jägerstr. 025,10117,70.0
16,Mitte,Leipziger Str. 047,10117,65.0
17,Mitte,Rheinsberger Str. 034- 35,10435,103.0
18,Mitte,Rückerstr. 002,10119,140.0
19,Mitte,Schmidstr. 002,10179,90.0
20,Mitte,Sebastianstr. 022,10179,94.0
21,Mitte,Sebastianstr. 023,10179,86.0
22,Mitte,Veteranenstr. 010,10119,133.0
23,Mitte,Weydemeyerstr. 020/21,10178,138.0
24,Mitte,Kastanienallee 063A,10119,95.0
25,Mitte,Elisabethkirchstr. 021,10115,125.0
26,Mitte,Griebenowstr. 016,10435,85.0
27,Mitte,Große Hamburger Str. 028,10115,84.0
28,Mitte,Mohrenstr. 007,10117,100.0
29,Mitte,Habersaathstr. 005,10115,90.0
30,Mitte,Eichendorffstr. 017,10115,25.0
31,Mitte,Wolliner Str. 060,10435,19.0
32,Mitte,Fürstenberger Str. 004,10435,180.0
33,Mitte,Strelitzer Str. 071,10115,17.0
34,Mitte,Krausnickstr. 003A,10115,21.0
35,Mitte,Anklamer Str. 046,10115,30.0
36,Mitte,Anklamer Str. 029(Seitenflügel/Quergebäude),10115,35.0
37,Mitte,Voßstr. 012,10117,45.0
38,Mitte,Zionskirchstr. 049,10119,43.0
39,Mitte,Krausnickstr. 011,10115,19.0
40,Mitte,Leipziger Str. 041,10117,135.0
41,Mitte,Anklamer Str. 029,10115,25.0
42,Mitte,Linienstr. 122-124,10115,140.0
43,Mitte,Brunnenstr. 033,10115,70.0
44,Mitte,Reinhardtstr. 031,10117,45.0
45,Mitte,Torstr. 134,10119,86.0
46,Mitte,Glinkastr. 024,10117,20.0
47,Mitte,Brunnenstr. 030,10119,42.0
48,Mitte,Anklamer Str. 022,10115,20.0
49,Mitte,Adalbertstr. 024,10179,30.0
50,Mitte,Borsigstr. 032/34,10115,200.0
51,Mitte,Garnisonkirchplatz 002,10178,23.0
52,Mitte,Wilhelmstr. 050,10117,18.0
53,Mitte,Köpenicker Str. 045,10179,23.0
54,Mitte,Invalidenstr. 130,10115,320.0
55,Mitte,Wilhelmstr. 054,10117,15.0
56,Mitte,Garnisonkirchplatz 002,10178,26.0
57,Mitte,Ziegelstr. 027,10117,23.0
58,Mitte,Rheinsberger Str. 056,10115,25.0
59,Mitte,Chausseestr. 050B,10115,54.0
60,Mitte,Fehrbelliner Str. 051,10119,65.0
61,Mitte,Wilhelmine-Gemberg-Weg 010,10179,26.0
62,Mitte,Ackerstr. 003,10115,25.0
63,Mitte,Steinstr. 027,10119,25.0
64,Mitte,Kapelle-Ufer 002,10117,12.0
65,Mitte,Ziegelstr. 005- 7,10117,88.0
66,Mitte,Mohrenstr. 011,10117,48.0
67,Mitte,Wadzeckstr. 004,10178,100.0
68,Mitte,Jacobystr. 004,10179,107.0
69,Mitte,Brunnenstr. 033,10115,25.0
70,Mitte,Wilhelmstr. 088,10117,20.0
71,Mitte,An der Kolonnade 002,10117,42.0
72,Mitte,Invalidenstr. 103a,10115,70.0
73,Mitte,Chausseestr. 084,10115,29.0
74,Mitte,Alexandrinenstr. 056,10179,48.0
75,Mitte,Hirtenstr. 012,10178,13.0
76,Mitte,Bredowstr. 027A,10551,135.0
77,Mitte,Calvinstr. 016,10557,105.0
78,Mitte,Emdener Str. 011-13,10551,220.0
79,Mitte,Havelberger Str. 021,10559,55.0
80,Mitte,Klopstockstr. 029,10557,93.0
81,Mitte,Alt-Moabit 025,10559,75.0
82,Mitte,Birkenstr. 060,10559,30.0
83,Mitte,Pohlstr. 087,10785,140.0
84,Mitte,Rathenower Str. 015,10559,200.0
85,Mitte,Ottostr. 016,10555,45.0
86,Mitte,Rostocker Str. 032A,10553,110.0
87,Mitte,Wikingerufer 009,10555,60.0
88,Mitte,Holsteiner Ufer 012,10557,115.0
89,Mitte,Paulstr. 020D,10557,110.0
90,Mitte,Bandelstr. 041,10559,65.0
91,Mitte,Kluckstr. 029,10785,19.0
92,Mitte,Alt-Moabit 117,10559,105.0
93,Mitte,Lützowstr. 083- 85 (Zugang Pohlstraße 62),10785,100.0
94,Mitte,Turmstr. 071,10551,65.0
95,Mitte,Elberfelder Str. 018,10555,20.0
96,Mitte,Otto-von-Bismarck-Allee 002,10557,176.0
97,Mitte,Kirchstr. 022,10557,16.0
98,Mitte,Quitzowstr. 136,10559,25.0
99,Mitte,Lehrter Str. 040,10557,74.0
100,Mitte,Stephanstr. 017,10559,30.0
101,Mitte,Wilsnacker Str. 014,10559,21.0
102,Mitte,Rostocker Str. 026,10553,20.0
103,Mitte,Bochumer Str. 011,10555,25.0
104,Mitte,Stromstr. 058,10551,18.0
105,Mitte,Flemingstr. 011,10557,18.0
106,Mitte,Waldstr. 015,10551,15.0
107,Mitte,Calvinstr. 013,10557,18.0
108,Mitte,Wilsnacker Str. 062,10559,26.0
109,Mitte,Lübecker Str. 013,10559,25.0
110,Mitte,Quitzowstr. 125,10559,18.0
111,Mitte,Emdener Str. 028,10551,50.0
112,Mitte,Huttenstr. 022A,10553,85.0
113,Mitte,Lützowstr. 061,10785,115.0
114,Mitte,Lüneburger Str. 014,10557,95.0
115,Mitte,Huttenstr. 031,10553,32.0
116,Mitte,Lübecker Str. 032,10559,40.0
117,Mitte,Katharina-Heinroth-Ufer 001,10787,39.0
118,Mitte,Bissingzeile 01519,10785,130.0
119,Mitte,Emdener Str. 047,10551,35.0
120,Mitte,Alt-Moabit 133B,10557,45.0
121,Mitte,Waldstr. 042,10551,30.0
122,Mitte,Birkenstr. 033,10551,17.0
123,Mitte,Bochumer Str. 002,10555,28.0
124,Mitte,Hansa-Ufer 003A,10555,100.0
125,Mitte,Lützowplatz 001,10785,30.0
126,Mitte,Siemensstr. 010,10551,25.0
127,Mitte,Waldstr. 023,10551,126.0
